Donor,Panel,Instrument,File name
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_RL1-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_RL2-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_RL3-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_VL1-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_VL2-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_VL3-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_VL4-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_YL1-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_YL2-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_YL4-A.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Samples_FNA021_FNA_Bcell_panel.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Samples_FNA021_PBMC_Bcell_panel.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_BL1-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_RL1-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_RL2-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_RL3-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_VL1-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_VL2-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_VL3-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_VL4-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_YL1-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_YL2-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Compensation_YL4-A.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Samples_FNA022_FNA_Bcell_panel.fcs
d022,Sort,Aria,FNA022 B panel 06082019_Samples_FNA022_PBMC_Bcell_panel.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_BL1-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_RL1-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_RL2-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_RL3-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL1-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL2-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL3-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL4-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_YL1-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_YL2-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_YL4-A.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL_B PANEL_NMO FNA.fcs
d101,B-cell,Attune,FNA_10_NMO_B PANEL_B PANEL_NMO PBMC.fcs
d101,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d101,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d101,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d101,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d101,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d101,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d101,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d101,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
